edge_id:int,source_node_id:int,target_node_id:int,edge_label_id:int
0,978,0,0
1,5506,0,0
2,533,0,0
3,987,0,0
4,901,0,0
5,414,0,0
6,1433,0,0
7,902,0,0
8,533,0,0
9,902,0,0
10,903,0,0
11,978,0,0
12,5218,0,0
13,987,0,0
14,978,0,0
15,4586,0,0
16,978,0,0
17,978,0,0
18,987,0,0
19,978,0,0
20,533,0,0
21,533,0,0
22,978,0,0
23,533,0,0
24,3777,0,0
25,987,0,0
26,533,0,0
27,1333,0,0
28,4586,0,0
29,978,0,0
30,3985,0,0
31,987,0,0
32,533,0,0
33,988,0,0
34,903,0,0
35,988,0,0
36,903,0,0
37,900,0,0
38,987,0,0
39,987,0,0
40,533,0,0
41,903,0,0
42,978,0,0
43,978,0,0
44,533,0,0
45,3269,2,0
46,3268,2,0
47,3342,2,0
48,1440,2,0
49,662,2,0
50,3280,2,0
51,3330,2,0
52,3221,2,0
53,3397,2,0
54,2858,2,0
55,3129,2,0
56,3418,2,0
57,3270,2,0
58,1496,3,0
59,1498,3,0
60,5446,3,0
61,1386,3,0
62,1590,3,0
63,558,3,0
64,3812,3,0
65,1640,3,0
66,3812,3,0
67,3810,3,0
68,3810,3,0
69,3698,3,0
70,558,3,0
71,980,3,0
72,5445,3,0
73,5012,3,0
74,983,3,0
75,1835,3,0
76,2508,3,0
77,980,3,0
78,3698,3,0
79,1387,3,0
80,1673,3,0
81,980,3,0
82,374,3,0
83,374,3,0
84,5279,3,0
85,3698,3,0
86,3811,3,0
87,558,3,0
88,1385,3,0
89,980,3,0
90,1189,3,0
91,374,3,0
92,980,3,0
93,4659,3,0
94,3525,3,0
95,558,3,0
96,1495,3,0
97,3528,3,0
98,4576,3,0
99,1721,3,0
100,896,3,0
101,558,3,0
102,1589,3,0
103,896,3,0
104,556,3,0
105,558,3,0
106,1385,3,0
107,1645,3,0
108,3812,3,0
109,1385,3,0
110,980,3,0
111,980,3,0
112,559,3,0
113,369,3,0
114,1720,3,0
115,374,3,0
116,559,3,0
117,3810,3,0
118,982,3,0
119,1643,3,0
120,4897,3,0
121,4191,3,0
122,5295,3,0
123,3811,3,0
124,3525,3,0
125,372,3,0
126,1497,3,0
127,3812,3,0
128,3525,3,0
129,896,3,0
130,367,3,0
131,557,3,0
132,374,3,0
133,559,3,0
134,980,3,0
135,3699,3,0
136,980,3,0
137,4072,3,0
138,558,3,0
139,374,3,0
140,980,3,0
141,558,3,0
142,3811,3,0
143,1495,3,0
144,373,3,0
145,980,3,0
146,558,3,0
147,558,3,0
148,3698,3,0
149,980,3,0
150,376,3,0
151,1188,3,0
152,559,3,0
153,4502,3,0
154,374,3,0
155,1591,3,0
156,559,3,0
157,558,3,0
158,368,3,0
159,559,3,0
160,896,3,0
161,3527,3,0
162,896,3,0
163,1672,3,0
164,3524,3,0
165,3526,3,0
166,558,3,0
167,979,3,0
168,980,3,0
169,1385,3,0
170,558,3,0
171,1642,3,0
172,558,3,0
173,980,3,0
174,558,3,0
175,980,3,0
176,896,3,0
177,558,3,0
178,558,3,0
179,1381,4,0
180,417,4,0
181,850,4,0
182,847,4,0
183,417,4,0
184,850,4,0
185,420,4,0
186,417,4,0
187,1876,4,0
188,1381,4,0
189,849,4,0
190,417,4,0
191,1807,4,0
192,420,4,0
193,418,4,0
194,418,4,0
195,1599,4,0
196,4274,4,0
197,1382,4,0
198,1382,4,0
199,540,4,0
200,417,4,0
201,1381,4,0
202,417,4,0
203,1652,4,0
204,420,4,0
205,4376,4,0
206,1381,4,0
207,417,4,0
208,417,4,0
209,1382,4,0
210,1382,4,0
211,850,4,0
212,1652,4,0
213,1600,4,0
214,1512,4,0
215,1381,4,0
216,418,4,0
217,417,4,0
218,1597,4,0
219,540,4,0
220,4273,4,0
221,421,4,0
222,540,4,0
223,1652,4,0
224,1382,4,0
225,1597,4,0
226,4274,4,0
227,1596,4,0
228,4405,4,0
229,1596,4,0
230,417,4,0
231,420,4,0
232,417,4,0
233,849,4,0
234,419,4,0
235,1806,4,0
236,4274,4,0
237,4345,4,0
238,1381,4,0
239,417,4,0
240,1381,4,0
241,3651,4,0
242,1597,4,0
243,1381,4,0
244,417,4,0
245,1381,4,0
246,1381,4,0
247,834,4,0
248,3689,4,0
249,1806,4,0
250,1596,4,0
251,417,4,0
252,420,4,0
253,849,4,0
254,417,4,0
255,1512,4,0
256,1807,4,0
257,1381,4,0
258,1381,4,0
259,419,4,0
260,1807,4,0
261,1381,4,0
262,850,4,0
263,421,4,0
264,1596,4,0
265,1382,4,0
266,1382,4,0
267,420,4,0
268,540,4,0
269,850,4,0
270,420,4,0
271,417,4,0
272,4876,4,0
273,850,4,0
274,5508,4,0
275,1381,4,0
276,1652,4,0
277,417,4,0
278,4598,4,0
279,850,4,0
280,417,4,0
281,849,4,0
282,1597,4,0
283,1876,4,0
284,1382,4,0
285,850,4,0
286,1382,4,0
287,4911,4,0
288,847,4,0
289,540,4,0
290,3689,4,0
291,1381,4,0
292,850,4,0
293,848,4,0
294,4347,4,0
295,1381,4,0
296,1382,4,0
297,420,4,0
298,1596,4,0
299,417,4,0
300,1596,4,0
301,1652,4,0
302,3916,4,0
303,1596,4,0
304,1382,4,0
305,540,4,0
306,849,4,0
307,5485,4,0
308,1382,4,0
309,540,4,0
310,3638,4,0
311,1600,4,0
312,417,4,0
313,4911,4,0
314,417,4,0
315,1382,4,0
316,1596,4,0
317,850,4,0
318,422,4,0
319,1596,4,0
320,539,4,0
321,417,4,0
322,849,4,0
323,1597,4,0
324,1807,4,0
325,1807,4,0
326,1382,4,0
327,417,4,0
328,1381,4,0
329,848,4,0
330,417,4,0
331,1382,4,0
332,1596,4,0
333,1600,4,0
334,4343,4,0
335,4347,4,0
336,850,4,0
337,850,4,0
338,418,4,0
339,849,4,0
340,3638,4,0
341,417,4,0
342,1382,4,0
343,420,4,0
344,1598,4,0
345,422,4,0
346,850,4,0
347,421,4,0
348,3916,4,0
349,1876,4,0
350,3916,4,0
351,1596,4,0
352,850,4,0
353,1596,4,0
354,3609,4,0
355,848,4,0
356,850,4,0
357,1598,4,0
358,3916,4,0
359,850,4,0
360,1600,4,0
361,1596,4,0
362,1381,4,0
363,1382,4,0
364,417,4,0
365,1381,4,0
366,1596,4,0
367,420,4,0
368,1596,4,0
369,1596,4,0
370,1382,4,0
371,849,4,0
372,1807,4,0
373,1382,4,0
374,4987,4,0
375,3610,4,0
376,850,4,0
377,850,4,0
378,1381,4,0
379,1598,4,0
380,849,4,0
381,1597,4,0
382,421,4,0
383,420,4,0
384,540,4,0
385,420,4,0
386,850,4,0
387,1596,4,0
388,1382,4,0
389,850,4,0
390,1381,4,0
391,1382,4,0
392,417,4,0
393,418,4,0
394,848,4,0
395,4376,4,0
396,540,4,0
397,833,4,0
398,418,4,0
399,417,4,0
400,417,4,0
401,417,4,0
402,2768,5,0
403,2473,5,0
404,2277,5,0
405,2038,5,0
406,2350,5,0
407,2275,5,0
408,2309,5,0
409,2947,5,0
410,2277,5,0
411,1978,5,0
412,2038,5,0
413,2485,5,0
414,2475,5,0
415,2474,5,0
416,2038,5,0
417,2038,5,0
418,2038,5,0
419,2277,5,0
420,2261,5,0
421,2038,5,0
422,2473,5,0
423,2261,5,0
424,2473,5,0
425,2276,5,0
426,2275,5,0
427,2475,5,0
428,2475,5,0
429,2277,5,0
430,2038,5,0
431,2038,5,0
432,2150,5,0
433,2038,5,0
434,2475,5,0
435,2473,5,0
436,2308,5,0
437,3051,5,0
438,2199,6,0
439,2663,6,0
440,2345,6,0
441,2345,6,0
442,2665,6,0
443,2310,6,0
444,2480,6,0
445,2345,6,0
446,2345,6,0
447,1428,6,0
448,2109,6,0
449,2345,6,0
450,2721,6,0
451,2964,6,0
452,2404,6,0
453,2517,6,0
454,2108,6,0
455,2957,6,0
456,2490,6,0
457,2167,6,0
458,2722,6,0
459,2518,6,0
460,2405,6,0
461,2518,6,0
462,2518,6,0
463,3369,6,0
464,662,6,0
465,2343,6,0
466,2108,6,0
467,2965,6,0
468,2345,6,0
469,2815,6,0
470,2345,6,0
471,2661,6,0
472,2345,6,0
473,2345,6,0
474,2855,6,0
475,2721,6,0
476,2761,6,0
477,2481,6,0
478,2108,6,0
479,2921,6,0
480,2225,6,0
481,2924,6,0
482,2501,6,0
483,2561,6,0
484,2226,6,0
485,2110,6,0
486,2481,6,0
487,2786,6,0
488,2310,6,0
489,2344,6,0
490,2108,6,0
491,2787,6,0
492,3188,6,0
493,2310,6,0
494,2518,6,0
495,2846,6,0
496,2923,6,0
497,2108,6,0
498,2345,6,0
499,2108,6,0
500,2762,6,0
501,2560,6,0
502,153,7,0
503,154,7,0
504,3626,7,0
505,617,7,0
506,153,7,0
507,153,7,0
508,153,7,0
509,1529,7,0
510,4111,7,0
511,211,7,0
512,617,7,0
513,153,7,0
514,4138,7,0
515,4135,7,0
516,153,7,0
517,1395,7,0
518,3626,7,0
519,3909,7,0
520,238,7,0
521,153,7,0
522,5367,7,0
523,1529,7,0
524,3652,7,0
525,3942,7,0
526,3908,7,0
527,3955,7,0
528,4983,7,0
529,238,7,0
530,238,7,0
531,153,7,0
532,210,7,0
533,153,7,0
534,470,7,0
535,1376,7,0
536,211,7,0
537,153,7,0
538,1530,7,0
539,3908,7,0
540,238,7,0
541,254,7,0
542,4428,7,0
543,4110,7,0
544,3652,7,0
545,153,7,0
546,1085,7,0
547,153,7,0
548,469,7,0
549,238,7,0
550,618,7,0
551,4145,7,0
552,153,7,0
553,152,7,0
554,1529,7,0
555,4139,7,0
556,1377,7,0
557,3727,7,0
558,4110,7,0
559,153,7,0
560,211,7,0
561,4137,7,0
562,1529,7,0
563,1394,7,0
564,153,7,0
565,3943,7,0
566,3907,7,0
567,4068,7,0
568,238,7,0
569,153,7,0
570,1393,7,0
571,618,7,0
572,5488,7,0
573,4137,7,0
574,165,7,0
575,1529,7,0
576,153,7,0
577,3908,7,0
578,689,7,0
579,153,7,0
580,5237,7,0
581,153,7,0
582,153,7,0
583,153,7,0
584,3652,7,0
585,1530,7,0
586,211,7,0
587,153,7,0
588,5375,7,0
589,4681,7,0
590,618,7,0
591,238,7,0
592,4428,7,0
593,153,7,0
594,470,7,0
595,899,7,0
596,255,7,0
597,469,7,0
598,4137,7,0
599,164,7,0
600,2483,8,0
601,2454,8,0
602,2170,8,0
603,2455,8,0
604,2455,8,0
605,2454,8,0
606,2088,8,0
607,2454,8,0
608,117,8,0
609,2454,8,0
610,2455,8,0
611,2095,8,0
612,117,8,0
613,2454,8,0
614,2068,8,0
615,2095,8,0
616,2095,8,0
617,2454,8,0
618,2068,8,0
619,2455,8,0
620,2454,8,0
621,2068,8,0
622,117,8,0
623,2415,8,0
624,2240,8,0
625,2454,8,0
626,117,8,0
627,2454,8,0
628,2095,8,0
629,2095,8,0
630,2483,8,0
631,2149,8,0
632,2455,8,0
633,2149,8,0
634,2454,8,0
635,2068,8,0
636,2848,8,0
637,2149,8,0
638,2095,8,0
639,2454,8,0
640,2068,8,0
641,2095,8,0
642,2454,8,0
643,2711,8,0
644,2095,8,0
645,2454,8,0
646,117,8,0
647,2170,8,0
648,2454,8,0
649,2149,8,0
650,2937,8,0
651,2454,8,0
652,2170,8,0
653,2068,8,0
654,2454,8,0
655,2454,8,0
656,2095,8,0
657,2095,8,0
658,117,8,0
659,2455,8,0
660,2629,9,0
661,2096,9,0
662,1999,9,0
663,2177,9,0
664,371,9,0
665,2146,9,0
666,2607,9,0
667,2096,9,0
668,1999,9,0
669,375,9,0
670,375,9,0
671,1967,9,0
672,2177,9,0
673,2178,9,0
674,2158,9,0
675,2096,9,0
676,1967,9,0
677,1999,9,0
678,2096,9,0
679,2127,9,0
680,2076,9,0
681,1999,9,0
682,1999,9,0
683,2127,9,0
684,2125,9,0
685,375,9,0
686,375,9,0
687,375,9,0
688,375,9,0
689,2125,9,0
690,375,9,0
691,2003,9,0
692,1999,9,0
693,375,9,0
694,2127,9,0
695,375,9,0
696,2126,9,0
697,1967,9,0
698,2125,9,0
699,1967,9,0
700,371,9,0
701,375,9,0
702,375,9,0
703,1999,9,0
704,375,9,0
705,2076,9,0
706,2096,9,0
707,2000,9,0
708,1999,9,0
709,1999,9,0
710,375,9,0
711,2607,9,0
712,2148,9,0
713,371,9,0
714,1999,9,0
715,2177,9,0
716,375,9,0
717,375,9,0
718,2076,9,0
719,375,9,0
720,375,9,0
721,2002,9,0
722,2004,9,0
723,2124,9,0
724,2002,9,0
725,3358,9,0
726,1999,9,0
727,2207,10,0
728,3101,10,0
729,2207,10,0
730,2545,10,0
731,2207,10,0
732,2207,10,0
733,2551,10,0
734,2859,10,0
735,2860,10,0
736,2207,10,0
737,2292,10,0
738,2548,10,0
739,2206,10,0
740,3101,10,0
741,2547,10,0
742,2550,10,0
743,2651,10,0
744,2546,10,0
745,2544,10,0
746,2545,10,0
747,2206,10,0
748,2294,10,0
749,2207,10,0
750,2207,10,0
751,2545,10,0
752,2545,10,0
753,3101,10,0
754,2293,10,0
755,2550,10,0
756,2547,10,0
757,3031,10,0
758,2207,10,0
759,2207,10,0
760,2293,10,0
761,2651,10,0
762,2207,10,0
763,2864,10,0
764,2866,10,0
765,2294,10,0
766,2206,10,0
767,2860,10,0
768,2207,10,0
769,2292,10,0
770,2207,10,0
771,2859,10,0
772,2545,10,0
773,2545,10,0
774,3253,10,0
775,2207,10,0
776,2207,10,0
777,3030,10,0
778,2860,10,0
779,3101,10,0
780,2545,10,0
781,2545,10,0
782,2292,10,0
783,2207,10,0
784,2546,10,0
785,2549,10,0
786,2859,10,0
787,2546,10,0
788,2207,10,0
789,2207,10,0
790,3307,10,0
791,2207,10,0
792,2207,10,0
793,2207,10,0
794,3101,10,0
795,2206,10,0
796,2207,10,0
797,2292,10,0
798,2207,10,0
799,2292,10,0
800,3031,10,0
801,2207,10,0
802,2551,10,0
803,2549,10,0
804,2207,10,0
805,2207,10,0
806,2207,10,0
807,2292,10,0
808,2294,10,0
809,2207,10,0
810,2550,10,0
811,2207,10,0
812,2292,10,0
813,2207,10,0
814,2207,10,0
815,2860,10,0
816,2292,10,0
817,2207,10,0
818,2207,10,0
819,1432,11,0
820,236,11,0
821,235,11,0
822,235,11,0
823,3789,11,0
824,4413,11,0
825,5182,11,0
826,235,11,0
827,4804,11,0
828,5561,11,0
829,4940,11,0
830,411,11,0
831,1125,11,0
832,646,11,0
833,235,11,0
834,788,11,0
835,5452,11,0
836,406,11,0
837,534,11,0
838,4395,11,0
839,1698,11,0
840,1834,11,0
841,235,11,0
842,406,11,0
843,534,11,0
844,536,11,0
845,536,11,0
846,235,11,0
847,405,11,0
848,536,11,0
849,4077,11,0
850,1602,11,0
851,235,11,0
852,646,11,0
853,4433,11,0
854,537,11,0
855,1695,11,0
856,410,11,0
857,4628,11,0
858,235,11,0
859,536,11,0
860,790,11,0
861,1777,11,0
862,236,11,0
863,1124,11,0
864,1905,11,0
865,646,11,0
866,4746,11,0
867,646,11,0
868,235,11,0
869,1121,11,0
870,409,11,0
871,235,11,0
872,1777,11,0
873,535,11,0
874,1833,11,0
875,4624,11,0
876,407,11,0
877,235,11,0
878,4764,11,0
879,536,11,0
880,4446,11,0
881,5559,11,0
882,4627,11,0
883,536,11,0
884,3863,11,0
885,5181,11,0
886,4081,11,0
887,1777,11,0
888,236,11,0
