edge_id:int,source_node_id:int,target_node_id:int,label_id:int,type:string,call_duration:string,call_in_out:string
0,978,0,0,1,75,1
1,5506,0,0,1,63,1
2,533,0,0,1,43,1
3,987,0,0,1,18,1
4,901,0,0,1,1100,1
5,414,0,0,1,49,1
6,1433,0,0,1,62,1
7,902,0,0,1,34,1
8,533,0,0,1,206,1
9,902,0,0,1,41,1
10,903,0,0,1,129,1
11,978,0,0,1,55,1
12,5218,0,0,1,86,1
13,987,0,0,1,35,1
14,978,0,0,1,445,1
15,4586,0,0,1,36,1
16,978,0,0,1,122,1
17,978,0,0,1,48,1
18,987,0,0,1,6,1
19,978,0,0,1,1038,1
20,533,0,0,1,9,1
21,533,0,0,1,18,1
22,978,0,0,1,14,1
23,533,0,0,1,77,1
24,3777,0,0,1,11,1
25,987,0,0,1,24,1
26,533,0,0,1,86,1
27,1333,0,0,1,7,1
28,4586,0,0,1,30,1
29,978,0,0,1,189,1
30,3985,0,0,1,21,1
31,987,0,0,1,19,1
32,533,0,0,1,32,1
33,988,0,0,1,247,1
34,903,0,0,1,21,1
35,988,0,0,1,46,1
36,903,0,0,1,45,1
37,900,0,0,1,31,1
38,987,0,0,1,44,1
39,987,0,0,1,17,1
40,533,0,0,1,129,1
41,903,0,0,1,41,1
42,978,0,0,1,57,1
43,978,0,0,1,210,1
44,533,0,0,1,23,1
45,3269,2,0,1,28,1
46,3268,2,0,1,46,1
47,3342,2,0,1,10,1
48,1440,2,0,1,6,1
49,662,2,0,1,17,1
50,3280,2,0,1,28,1
51,3330,2,0,1,33,1
52,3221,2,0,1,12,1
53,3397,2,0,1,45,1
54,2858,2,0,1,16,1
55,3129,2,0,1,18,1
56,3418,2,0,1,16,1
57,3270,2,0,1,12,1
58,1496,3,0,1,34,1
59,1498,3,0,1,11,1
60,5446,3,0,1,7,1
61,1386,3,0,1,30,1
62,1590,3,0,1,27,1
63,558,3,0,1,25,1
64,3812,3,0,1,138,1
65,1640,3,0,1,19,1
66,3812,3,0,1,240,1
67,3810,3,0,1,781,1
68,3810,3,0,1,512,1
69,3698,3,0,1,114,1
70,558,3,0,1,11,1
71,980,3,0,1,43,1
72,5445,3,0,1,14,1
73,5012,3,0,1,10,1
74,983,3,0,1,349,1
75,1835,3,0,1,12,1
76,2508,3,0,1,15,1
77,980,3,0,1,17,1
78,3698,3,0,1,106,1
79,1387,3,0,1,1,1
80,1673,3,0,1,10,1
81,980,3,0,1,42,1
82,374,3,0,1,49,1
83,374,3,0,1,28,1
84,5279,3,0,1,32,1
85,3698,3,0,1,16,1
86,3811,3,0,1,11,1
87,558,3,0,1,18,1
88,1385,3,0,1,67,1
89,980,3,0,1,1712,1
90,1189,3,0,1,18,1
91,374,3,0,1,12,1
92,980,3,0,1,1135,1
93,4659,3,0,1,45,1
94,3525,3,0,1,58,1
95,558,3,0,1,17,1
96,1495,3,0,1,36,1
97,3528,3,0,1,18,1
98,4576,3,0,1,113,1
99,1721,3,0,1,1382,1
100,896,3,0,1,21,1
101,558,3,0,1,18,1
102,1589,3,0,1,18,1
103,896,3,0,1,31,1
104,556,3,0,1,46,1
105,558,3,0,1,31,1
106,1385,3,0,1,29,1
107,1645,3,0,1,20,1
108,3812,3,0,1,687,1
109,1385,3,0,1,42,1
110,980,3,0,1,579,1
111,980,3,0,1,465,1
112,559,3,0,1,55,1
113,369,3,0,1,652,1
114,1720,3,0,1,49,1
115,374,3,0,1,148,1
116,559,3,0,1,123,1
117,3810,3,0,1,192,1
118,982,3,0,1,33,1
119,1643,3,0,1,53,1
120,4897,3,0,1,45,1
121,4191,3,0,1,659,1
122,5295,3,0,1,67,1
123,3811,3,0,1,35,1
124,3525,3,0,1,20,1
125,372,3,0,1,32,1
126,1497,3,0,1,30,1
127,3812,3,0,1,420,1
128,3525,3,0,1,54,1
129,896,3,0,1,18,1
130,367,3,0,1,84,1
131,557,3,0,1,31,1
132,374,3,0,1,31,1
133,559,3,0,1,1800,1
134,980,3,0,1,66,1
135,3699,3,0,1,9,1
136,980,3,0,1,68,1
137,4072,3,0,1,70,1
138,558,3,0,1,27,1
139,374,3,0,1,21,1
140,980,3,0,1,284,1
141,558,3,0,1,22,1
142,3811,3,0,1,105,1
143,1495,3,0,1,1060,1
144,373,3,0,1,29,1
145,980,3,0,1,38,1
146,558,3,0,1,106,1
147,558,3,0,1,10,1
148,3698,3,0,1,48,1
149,980,3,0,1,19,1
150,376,3,0,1,11,1
151,1188,3,0,1,81,1
152,559,3,0,1,341,1
153,4502,3,0,1,18,1
154,374,3,0,1,84,1
155,1591,3,0,1,27,1
156,559,3,0,1,1800,1
157,558,3,0,1,48,1
158,368,3,0,1,84,1
159,559,3,0,1,903,1
160,896,3,0,1,99,1
161,3527,3,0,1,23,1
162,896,3,0,1,43,1
163,1672,3,0,1,56,1
164,3524,3,0,1,38,1
165,3526,3,0,1,18,1
166,558,3,0,1,38,1
167,979,3,0,1,40,1
168,980,3,0,1,396,1
169,1385,3,0,1,36,1
170,558,3,0,1,22,1
171,1642,3,0,1,7,1
172,558,3,0,1,26,1
173,980,3,0,1,1291,1
174,558,3,0,1,35,1
175,980,3,0,1,27,1
176,896,3,0,1,41,1
177,558,3,0,1,123,1
178,558,3,0,1,106,1
179,1381,4,0,1,69,1
180,417,4,0,1,55,1
181,850,4,0,1,12,1
182,847,4,0,1,28,1
183,417,4,0,1,69,1
184,850,4,0,1,16,1
185,420,4,0,1,36,1
186,417,4,0,1,20,1
187,1876,4,0,1,15,1
188,1381,4,0,1,14,1
189,849,4,0,1,37,1
190,417,4,0,1,41,1
191,1807,4,0,1,20,1
192,420,4,0,1,81,1
193,418,4,0,1,33,1
194,418,4,0,1,49,1
195,1599,4,0,1,30,1
196,4274,4,0,1,23,1
197,1382,4,0,1,22,1
198,1382,4,0,1,49,1
199,540,4,0,1,61,1
200,417,4,0,1,57,1
201,1381,4,0,1,31,1
202,417,4,0,1,30,1
203,1652,4,0,1,30,1
204,420,4,0,1,19,1
205,4376,4,0,1,13,1
206,1381,4,0,1,14,1
207,417,4,0,1,8,1
208,417,4,0,1,17,1
209,1382,4,0,1,25,1
210,1382,4,0,1,19,1
211,850,4,0,1,12,1
212,1652,4,0,1,51,1
213,1600,4,0,1,153,1
214,1512,4,0,1,20,1
215,1381,4,0,1,105,1
216,418,4,0,1,35,1
217,417,4,0,1,64,1
218,1597,4,0,1,37,1
219,540,4,0,1,84,1
220,4273,4,0,1,53,1
221,421,4,0,1,16,1
222,540,4,0,1,5,1
223,1652,4,0,1,94,1
224,1382,4,0,1,31,1
225,1597,4,0,1,15,1
226,4274,4,0,1,17,1
227,1596,4,0,1,17,1
228,4405,4,0,1,52,1
229,1596,4,0,1,35,1
230,417,4,0,1,49,1
231,420,4,0,1,31,1
232,417,4,0,1,26,1
233,849,4,0,1,42,1
234,419,4,0,1,43,1
235,1806,4,0,1,17,1
236,4274,4,0,1,13,1
237,4345,4,0,1,15,1
238,1381,4,0,1,7,1
239,417,4,0,1,38,1
240,1381,4,0,1,33,1
241,3651,4,0,1,16,1
242,1597,4,0,1,15,1
243,1381,4,0,1,18,1
244,417,4,0,1,47,1
245,1381,4,0,1,25,1
246,1381,4,0,1,18,1
247,834,4,0,1,142,1
248,3689,4,0,1,24,1
249,1806,4,0,1,39,1
250,1596,4,0,1,14,1
251,417,4,0,1,135,1
252,420,4,0,1,12,1
253,849,4,0,1,87,1
254,417,4,0,1,25,1
255,1512,4,0,1,13,1
256,1807,4,0,1,42,1
257,1381,4,0,1,46,1
258,1381,4,0,1,20,1
259,419,4,0,1,26,1
260,1807,4,0,1,7,1
261,1381,4,0,1,51,1
262,850,4,0,1,11,1
263,421,4,0,1,41,1
264,1596,4,0,1,36,1
265,1382,4,0,1,14,1
266,1382,4,0,1,22,1
267,420,4,0,1,25,1
268,540,4,0,1,15,1
269,850,4,0,1,10,1
270,420,4,0,1,11,1
271,417,4,0,1,16,1
272,4876,4,0,1,26,1
273,850,4,0,1,28,1
274,5508,4,0,1,18,1
275,1381,4,0,1,27,1
