edge_id:int,source_node_id:int,target_node_id:int,label_id:int,down_flow:string,up_flow:string,date:string,count:string,visit_duration:string
31063,28,5752,2,8116,7392,6,8,7940
31064,56,5752,2,4536,4590,17,1,6924
31065,32,5752,2,560,560,10,2,2557
31066,43,5752,2,780,795,3,1,8054
31067,0,5752,2,659,547,4,7,396
31068,32,5752,2,1008,968,27,1,6400
31069,32,5752,2,1512,1496,28,3,10762
31070,25,5752,2,635,1103,21,3,2309
31071,28,5752,2,821901,32048,18,2,8152
31072,0,5752,2,1318,1094,10,14,723
31073,18,5752,2,1008,1020,6,1,0
31074,0,5752,2,1694,1406,11,18,990
31075,28,5752,2,34524134,1359682,17,110,241237
31076,28,5752,2,52,52,9,1,786
31077,40,5752,2,585,238,7,3,874
31078,28,5752,2,4696,4536,3,7,1669
31079,75,5752,2,96,80,28,1,442
31080,82,5752,2,1008,1008,17,1,0
31081,79,5752,2,332,255,5,2,0
31082,56,5752,2,504,510,19,1,1949
31083,74,5752,2,240,0,7,2,799
31084,0,5752,2,941,781,12,10,3212
31085,79,5752,2,2431,484,21,4,13316
31086,28,5752,2,6552,6552,7,1,4003
31087,32,5752,2,640,560,24,2,0
31088,56,5752,2,3608,3570,13,4,8716
31089,0,5752,2,457,313,14,5,207
31090,28,5752,2,3192,3192,26,3,3017
31091,82,5752,2,1008,1008,22,1,1707
31092,82,5752,2,1008,1008,19,1,1559
31093,28,5752,2,3024,4012,2,5,7740
31094,52,5752,2,1138,582,26,6,2551
31095,74,5752,2,800,0,4,1,3151
31096,78,5752,2,80,0,2,1,0
31097,62,5752,2,84,0,28,1,0
31098,26,5752,2,1516954,24446,15,11,13421
31099,5,5752,2,4788,4788,5,1,2815
31100,28,5752,2,3024,3024,1,1,2311
31101,49,5752,2,1203,1081,1,2,4417
31102,6,5752,2,115091,31836,17,6,14485
31103,76,5752,2,400,0,2,1,1493
31104,28,5752,2,80,0,4,1,0
31105,28,5752,2,424,624,15,6,3152
31106,56,5752,2,320,208,8,2,0
31107,28,5752,2,7560,9120,19,4,6314
31108,28,5752,2,852,52,16,4,811
31109,82,5752,2,1008,1008,12,1,1727
31110,44,5752,2,23634,1682,2,1,7216
31111,2,5753,2,5056,2167,38,1,3184
31112,47,5753,2,9750,35019,11,14,28731
31113,55,5753,2,6166,19833,11,16,15465
31114,16,5753,2,4797,701,20,2,970
31115,55,5753,2,3730,9179,3,10,10330
31116,16,5753,2,136,56,14,1,41
31117,23,5753,2,3578,635,44,1,0
31118,44,5753,2,10246,4466,38,1,2412
31119,42,5753,2,8860,46174,11,13,8853
31120,42,5753,2,4874,27804,8,5,10749
31121,55,5753,2,7328,23848,4,18,13311
31122,2,5753,2,5343,2246,5,3,135
31123,2,5753,2,5071,2202,34,1,2371
31124,42,5753,2,8578,28384,3,9,9228
31125,21,5753,2,1116,2716,22,4,2272
31126,14,5753,2,387,1281,10,1,2271
31127,81,5753,2,1036,2711,2,4,5016
31128,0,5753,2,272,112,12,2,105
31129,2,5753,2,5207,2226,10,2,2162
31130,74,5753,2,1902,7788,34,1,2201
31131,25,5753,2,1543,4813,25,4,8347
31132,0,5753,2,3434,10535,1,10,11419
31133,32,5753,2,382,1632,20,1,2961
31134,42,5753,2,900,2920,2,3,3642
31135,70,5753,2,46488,19620,14,1,0
31136,2,5753,2,15807,4879,36,3,5235
31137,2,5753,2,518,1556,4,2,1812
31138,55,5753,2,518,1347,5,3,2000
31139,42,5753,2,6826,36644,14,9,1372
31140,94,5753,2,764,0,6,2,3549
31141,42,5753,2,518,1581,5,2,1814
31142,46,5753,2,900,2909,3,2,1379
31143,2,5753,2,124,58,18,1,78
31144,55,5753,2,1036,2838,17,2,1760
31145,55,5753,2,558,1303,6,2,59
31146,16,5753,2,616,748,11,7,5596
31147,46,5753,2,585,675,1,2,2210
31148,50,5753,2,481,1969,4,1,7142
31149,0,5753,2,6324,19319,10,24,16316
31150,42,5753,2,2366,14020,19,3,1052
31151,42,5753,2,748,677,4,2,1154
31152,16,5753,2,260,114,9,2,104
31153,6,5753,2,804,3324,17,2,3525
31154,79,5753,2,518,1285,23,2,3163
31155,0,5753,2,8774,29674,4,22,17542
31156,42,5753,2,5202,23782,21,8,10226
31157,16,5753,2,5111,1970,35,1,3062
31158,32,5753,2,3244,12646,10,9,18516
31159,55,5753,2,16216,49706,12,34,60555
31160,23,5753,2,5487,2467,28,3,573
31161,72,5753,2,1076,3255,1,4,1845
31162,6,5753,2,980,735,16,4,3084
31163,18,5753,2,52,52,8,1,713
31164,91,5753,2,104,160,2,2,520
31165,46,5753,2,40,52,10,1,219
31166,8,5753,2,5510,14284,24,7,4729
31167,25,5753,2,1356,2078,20,2,5901
31168,16,5753,2,896,988,5,6,624
31169,55,5753,2,36868,111806,23,22,20606
31170,2,5753,2,5207,2338,15,2,50
31171,81,5753,2,3836,1596,4,1,5114
31172,16,5753,2,9322,1226,38,2,3669
31173,12,5753,2,201077,23896,25,4,2678
31174,55,5753,2,2208,5665,13,9,7840
31175,55,5753,2,1036,2870,24,2,2058
31176,42,5753,2,12548,57160,9,9,18620
31177,76,5753,2,136,56,14,1,85
31178,2,5753,2,5948,2559,14,2,52
31179,83,5753,2,739,1577,22,2,2113
31180,21,5753,2,900,2871,27,3,1272
31181,16,5753,2,12332,4221,8,21,12845
31182,16,5753,2,136,56,17,1,43
31183,23,5753,2,15874,7296,27,5,7446
31184,74,5753,2,8318,18678,20,5,11114
31185,42,5753,2,2668,15520,1,3,890
31186,2,5753,2,10751,3576,27,5,5324
31187,74,5753,2,24267,90817,24,5,10294
31188,0,5753,2,4318,13635,11,14,10051
31189,42,5753,2,8760,41196,22,5,7021
31190,94,5753,2,764,0,4,2,3883
31191,24,5753,2,1594,4835,7,7,9678
31192,23,5753,2,15757,7154,26,4,2788
31193,76,5753,2,136,56,6,1,71
31194,55,5753,2,1036,2894,26,4,3816
31195,16,5753,2,136,56,16,1,96
31196,2,5753,2,10142,4516,31,2,6943
31197,2,5753,2,5627,1588,12,3,133
31198,32,5753,2,2736,11343,28,8,19513
31199,0,5753,2,1076,3680,9,4,7428
31200,42,5753,2,9890,43794,25,19,12223
31201,42,5754,2,94571,20224,11,16,23905
31202,91,5754,2,19528,11410,1,11,9881
31203,42,5754,2,60069,9065,19,8,8041
31204,46,5754,2,117413,68758,10,21,49898
31205,44,5754,2,84,85,11,1,643
31206,91,5754,2,51894,11321,34,7,10553
31207,78,5754,2,90749,8324,7,3,4368
31208,16,5754,2,89,57,9,1,97
31209,23,5754,2,89,57,21,1,78
31210,0,5754,2,425251,216340,4,215,301351
31211,55,5754,2,12156,32340,17,3,2345
31212,42,5754,2,2720998,97930,3,39,67283
31213,47,5754,2,4982,2480,11,3,173
31214,38,5754,2,11506,4073,23,7,6843
31215,28,5754,2,20520,2978,32,2,3635
31216,23,5754,2,267,171,19,2,133
31217,44,5754,2,18341,5492,16,3,151
31218,46,5754,2,1388,826,1,5,2997
31219,78,5754,2,62311,12525,15,10,7823
31220,27,5754,2,17203,8258,44,4,14632
31221,42,5754,2,80357,26233,43,17,35047
31222,26,5754,2,89,57,7,1,46
31223,2,5754,2,445,285,21,3,879
31224,0,5754,2,18267,7336,33,6,14845
31225,16,5754,2,89,57,17,1,43
31226,32,5754,2,124073,6066,38,2,0
31227,94,5754,2,19007,22303,5,30,41751
31228,78,5754,2,10723,4068,8,5,3581
31229,55,5754,2,65710,31794,25,21,12439
31230,0,5754,2,17637,7582,35,5,14687
31231,42,5754,2,5214,1621,32,1,4057
31232,82,5754,2,4717,1509,31,1,0
31233,46,5754,2,140,57,12,1,49
31234,27,5754,2,373,528,7,1,0
31235,79,5754,2,2656,3642,5,4,14931
31236,2,5754,2,89,57,3,1,52
31237,78,5754,2,90628,8590,37,3,4200
31238,26,5754,2,89,57,8,1,89
31239,47,5754,2,645,1021,8,2,53
31240,83,5754,2,77,61,18,1,341
31241,57,5754,2,4089,1528,16,3,5426
31242,55,5754,2,14006,28240,24,7,8048
31243,16,5754,2,77,61,16,1,51
31244,26,5754,2,89,57,2,1,75
31245,78,5754,2,49583,6990,9,9,4373
31246,14,5754,2,141,58,10,1,77
31247,91,5754,2,28886,4479,2,6,13662
31248,55,5754,2,98170,271742,12,49,72886
31249,23,5754,2,89,57,4,1,111
31250,46,5754,2,1653,2062,15,5,5910
31251,78,5754,2,40685,4116,27,4,3930
31252,78,5754,2,97373,12548,21,10,4366
31253,94,5754,2,9465,5402,9,6,9732
31254,78,5754,2,46154,5340,6,7,236
31255,55,5754,2,134226,91836,23,53,117633
31256,77,5754,2,4918,2125,15,2,6255
31257,74,5754,2,162296,272359,24,118,208142
31258,27,5754,2,5379,2311,38,1,6852
31259,28,5754,2,5177,1377,33,1,0
31260,55,5754,2,22204,17855,14,8,14150
31261,91,5754,2,21854,7520,35,2,0
31262,27,5754,2,430,593,2,2,3389
31263,23,5754,2,89,57,24,1,72
31264,42,5754,2,6568,3274,1,5,89
31265,26,5754,2,8487,1585,25,5,14808
31266,42,5754,2,19839,8649,21,9,13389
31267,2,5754,2,534,342,1,2,52
31268,91,5754,2,100458,68386,31,12,15390
31269,28,5754,2,1572,1065,7,2,87
31270,42,5754,2,16591,5157,31,2,0
31271,55,5754,2,14065,6834,27,9,17238
31272,78,5754,2,22070,8679,17,12,10666
31273,78,5754,2,5298,2061,42,1,6297
31274,55,5754,2,8909,5938,15,7,2885
31275,78,5754,2,118057,12183,43,4,0
31276,27,5754,2,4616,8534,15,8,13587
31277,2,5754,2,178,114,25,2,121
31278,0,5754,2,303205,155229,10,207,237612
31279,46,5754,2,12663,6170,31,3,2081
31280,27,5754,2,77,61,26,1,382
31281,91,5754,2,375294,192364,30,33,88954
31282,2,5754,2,267,171,2,3,149
31283,2,5754,2,3478,2083,17,5,4420
31284,46,5754,2,1815,833,24,3,9987
31285,0,5754,2,127963,71003,1,109,105763
31286,91,5754,2,103711,34359,32,13,24557
31287,23,5754,2,1786,1141,28,13,21397
31288,2,5754,2,979,627,11,6,1851
31289,55,5754,2,6272,3396,13,3,2458
31290,46,5754,2,27242,7239,32,1,9438
31291,55,5754,2,32054,16138,28,13,24804
31292,23,5754,2,6310,2398,26,10,1468
31293,42,5754,2,29655,10273,8,10,12334
31294,42,5754,2,12873,5164,25,7,8289
31295,78,5754,2,214857,18269,35,6,11254
31296,55,5754,2,8666,8518,11,6,3295
31297,42,5754,2,233522,14327,14,10,2836
31298,72,5754,2,4599,1697,1,5,4385
31299,94,5754,2,32322,16224,7,11,8145
31300,0,5754,2,5315,2231,40,1,0
31301,0,5754,2,14913,6067,12,10,16928
31302,8,5754,2,24019358,492419,24,93,145169
31303,0,5754,2,30995,11708,32,9,17357
31304,27,5754,2,77,61,14,1,0
31305,25,5754,2,332555,157311,35,11,12762
31306,78,5754,2,5298,2046,20,1,3331
31307,73,5754,2,21307,16687,35,4,1859
31308,2,5754,2,754,473,27,7,552
31309,44,5754,2,290,208,28,2,1971
31310,27,5754,2,547,654,23,3,3500
31311,2,5754,2,988,588,16,3,1489
31312,46,5754,2,683071,2245864,3,12,8852
31313,76,5754,2,362,184,6,3,198
31314,78,5754,2,11067,5153,32,2,4140
31315,25,5754,2,304,68,25,1,21
31316,42,5754,2,1162,2058,2,3,3288
31317,16,5754,2,445,285,11,4,88
31318,27,5754,2,0,1086,13,2,0
31319,2,5754,2,12515,4631,10,15,9970
31320,0,5754,2,17605,6565,37,5,11772
31321,2,5754,2,10928,1809,14,5,4057
31322,78,5754,2,5380,2111,19,3,2535
31323,78,5754,2,10904,4285,34,1,0
31324,37,5754,2,787,642,14,2,1994
31325,42,5754,2,717721,17847,22,4,6452
31326,42,5754,2,11840,4133,42,2,1344
31327,0,5754,2,87675,42196,36,47,52841
31328,78,5754,2,5505,2162,25,3,275
31329,27,5754,2,572,588,11,2,6515
31330,42,5754,2,16266,5627,41,4,17784
31331,2,5754,2,211,122,5,2,1252
31332,23,5754,2,300,181,27,3,247
31333,6,5754,2,21404,10672,16,18,22857
31334,19,5754,2,7237,1416,38,1,2474
31335,91,5754,2,219,340,33,1,0
31336,44,5754,2,1185,1272,25,2,2209
31337,27,5754,2,936,1625,22,3,2983
31338,78,5754,2,44073,4641,11,6,4541
31339,76,5754,2,218,123,7,2,131
31340,44,5754,2,18656,21585,10,8,10266
31341,2,5754,2,89,57,15,1,78
31342,32,5754,2,2485,2726,28,7,11234
31343,81,5754,2,7661,5096,2,4,6240
31344,23,5754,2,518,373,25,5,4011
31345,0,5754,2,188140,89519,11,131,141209
31346,91,5754,2,5647,1072,29,1,0
31347,27,5754,2,1609,1815,20,3,6214
31348,78,5754,2,5422,2106,3,3,130
31349,42,5754,2,147260,48638,45,28,49507
31350,46,5754,2,12222,4496,41,3,6212
31351,55,5754,2,5316,3522,32,1,0
31352,78,5754,2,168673,13886,40,3,3800
31353,77,5754,2,6525,2190,4,2,4341
31354,2,5754,2,89,57,26,1,65
31355,4,5754,2,360,360,15,2,609
31356,23,5754,2,89,57,5,1,96
31357,94,5754,2,11633,7188,8,10,12126
31358,26,5754,2,4851,1718,15,1,2902
31359,42,5754,2,6855,3499,9,7,2199
31360,2,5754,2,166,118,13,2,130
31361,44,5754,2,2268,2504,14,2,2455
31362,16,5754,2,5174,1135,38,2,3231
31363,36,5754,2,478,1049,1,2,1358
31364,44,5754,2,2680,3090,15,1,850
31365,27,5754,2,430,593,5,2,3333
31366,16,5754,2,2654,1741,8,28,6086
31367,42,5754,2,16636,5053,34,2,0
31368,2,5754,2,7898,2493,12,11,2408
31369,78,5754,2,142292,16044,4,12,13464
31370,99,5754,2,3930,4493,11,2,547
31371,78,5754,2,280069,25341,44,9,11810
31372,94,5754,2,1212790,88899,6,67,68890
31373,55,5754,2,13970,8032,6,7,9920
31374,78,5754,2,80,151,18,1,1889
31375,0,5754,2,1250,558,14,3,2317
31376,42,5754,2,1517,1639,5,4,3038
